,Current EPS
ERIBR.HE,
KNEBV.HE,1.8100000185732363
NESTE.HE,0.9280000032568546
NDA-FI.HE,0.5500000319916258
SAMPO.HE,0.06700000149368346
FORTUM.HE,2.049999967839534
NOKIA.HE,
UPM.HE,1.0499999749043982
TELIA1.HE,0.13
STEAV.HE,0.7899999647910878
STERV.HE,0.7900000410513617
KESKOB.HE,1.0900000597026638
KESKOA.HE,1.0900000800721927
ELISA.HE,2.048999894686883
MOCORP.HE,0.18700000906397315
SSABAH.HE,0.34800000367767503
SSABBH.HE,0.3480000013407175
WRT1V.HE,0.225999997500553
ORNAV.HE,1.559999993161644
ORNBV.HE,1.5600000212787726
VALMT.HE,1.5399999346092335
TYRES.HE,0.6199999640348072
KOJAMO.HE,1.266000078269848
HUH1V.HE,1.6900000153357533
METSB.HE,0.47799997639875114
METSA.HE,0.47799997639875114
TIETO.HE,0.7979999509592758
KCR.HE,1.5399999207352981
CGCBV.HE,0.1260000008278581
SAA1V.HE,1.5060000292718412
QTCOM.HE,0.5100000213772464
OUT1V.HE,
AM1.HE,0.7799999578378403
KEMIRA.HE,0.8590000115586031
NELES.HE,14.635999075326732
TTALO.HE,0.36000002701468387
TIK1V.HE,0.9699999336165237
UPONOR.HE,1.2100001403255505
REG1V.HE,0.5019999678720021
CTY1S.HE,
FSKRS.HE,0.8290000281249703
TOKMAN.HE,1.2100000255801382
VAIAS.HE,0.9100000768506161
PON1V.HE,1.149999945019923
FIA1S.HE,
OLVAS.HE,1.9589998984370953
YIT.HE,0.12400000274700937
MUSTI.HE,0.4760000030709678
ENENTO.HE,0.8100000091267607
ALMA.HE,1.1160001182224302
EQV1V.HE,0.5999999937238495
CAV1V.HE,0.04600000207129465
AKTIA.HE,0.6100000047563353
RAIVV.HE,0.14900000677272757
RAIKV.HE,0.14900000580240408
FSC1V.HE,0.08
HARVIA.HE,0.8199999275709843
KAMUX.HE,0.57999993683169
LAT1V.HE,0.5
BAS1V.HE,
REMEDY.HE,0.8560000279874792
TNOM.HE,0.21999999124378145
ROVIO.HE,0.4270000005493924
SCANFL.HE,0.5699999754060924
ADMCM.HE,1.3620001131979622
NANOFH.HE,
TALLINK.HE,
ALBAV.HE,2.0200000348776985
ALBBV.HE,2.019999885245143
ETTE.HE,0.6869999424955604
CAPMAN.HE,0.033000000492537325
VERK.HE,0.3199999774945071
MEKKO.HE,1.6970000223531339
OKDAV.HE,0.06000000211453752
ALTIA.HE,0.4930000071520987
EVLI.HE,0.869999938407084
OKDBV.HE,0.06000000226415103
OMASP.HE,1.0399999252898011
DETEC.HE,0.4699999893584908
ATRAV.HE,0.810000017608696
SUY1V.HE,0.5200000218947378
GOFORE.HE,0.49000002949074256
RELAIS.HE,0.4
SITOWS.HE,9.630000399744182
ASPO.HE,0.3849999791265072
RAP1V.HE,0.03999999591836776
TAALA.HE,0.44999998174442263
PIHLIS.HE,0.38600000979795596
BITTI.HE,0.06100000157711743
HKSAV.HE,
DIGIA.HE,0.38999997688889027
FARON.HE,
HEALTH.HE,
TEM1V.HE,0.05
TITAN.HE,0.7400000424203846
VIK1V.HE,
LEHTO.HE,
KSLAV.HE,2.02500020250002
ORTHEX.HE,19.37500062307748
SRV1V.HE,
NOHO.HE,
ICP1V.HE,2.0189999820020574
ILK2S.HE,0.11599999794769235
LEADD.HE,0.04
EEZY.HE,0.10800000272924194
UNIAV.HE,0.5899999608185353
SIILI.HE,0.6289999696417707
ILK1S.HE,0.11599999536000018
VINCIT.HE,0.360000007128713
ROBIT.HE,
EXL1V.HE,0.45
SOLTEQ.HE,0.09999999999999999
SSH1V.HE,
CONSTI.HE,0.689999978533334
ESENSE.HE,
TLT1V.HE,
RAUTE.HE,
BOREO.HE,0.9010000014473895
STCBV.HE,
STCAS.HE,
EFECTE.HE,
APETIT.HE,0.5059999713266683
PUMU.HE,
OPTOMED.HE,
PARTNE1.HE,0.027000002288135788
SIEVI.HE,0.17000000242857147
IFA1V.HE,0.04699999398977059
GLA1V.HE,
NIXU.HE,
NXTGMS.HE,
VIAFIN.HE,0.7179999996640937
SOSI1.HE,
FODELIA.HE,0.08800000145529718
AFAGR.HE,
NLG1V.HE,
EAB.HE,0.01799999841758256
SAGCV.HE,
AALLON.HE,0.26499996915948637
DOV1V.HE,0.016000001283208123
HONBS.HE,0.48000001069637904
BILOT.HE,
PNA1V.HE,
ELEAV.HE,0.2599999954782609
OVARO.HE,
ENDOM.HE,
INVEST.HE,
UUTEC.HE,0.027000002288135788
DIGIGR.HE,
BIOBV.HE,
HEEROS.HE,0.005
FONDIA.HE,0.20999999301861724
VALOE.HE,
CTH1V.HE,
NXTMH.HE,
AVIDLY.HE,
ACG1V.HE,
HRTIS.HE,
AHOLA.HE,0.18900000529200014
QPR1V.HE,
BONEH.HE,
WUF1V.HE,0.32
REKA.HE,0.16
FELLOW.HE,
TULAV.HE,0.0029999999202657826
LOUD.HE,
KELAS.HE,0.09000000808988837
TRH1V.HE,
MARAS.HE,
SAVOH.HE,
SOPRA.HE,
NORDID.HE,
PIIPPO.HE,0.14199999824329898
RUSH.HE,
PRIVA.HE,
ENEDO.HE,
NXTMHN0121.HE,
KREATE.HE,
