,Annual ROR
RAIVV.HE,0.15950063972896067
RAIKV.HE,0.15877435845975185
METSA.HE,0.1455847554138372
BITTI.HE,0.12541805980064225
METSB.HE,0.11046846421487588
FSKRS.HE,0.09713663172950526
SSABBH.HE,0.08292042675868383
UPM.HE,0.08132317938580735
KELAS.HE,0.0022521963774337905
APETIT.HE,-0.0364963508730749
PARTNE1.HE,-0.044534466494033476
TYRES.HE,-0.10602127614210666
LAT1V.HE,-0.12590803993609223
SIEVI.HE,-0.18604653902863555
RAUTE.HE,-0.22333335876464833
YIT.HE,-0.33026704862692113
FONDIA.HE,-0.37851241786381684
WRT1V.HE,-0.5076504258325942
NELES.HE,-0.5579681235694411
