company,CurrentRatio
SIEVI.HE,42.042035477617524
PARTNE1.HE,25.802113326745157
FELLOW.HE,10.498761921466295
TITAN.HE,7.421112582961851
SOSI1.HE,7.417025968502562
REMEDY.HE,6.639940867067661
BIOBV.HE,6.628713229620086
NANOFH.HE,5.795389771868821
RAIKV.HE,4.478419568270526
RAIVV.HE,4.478419568270526
TAALA.HE,4.126610892613069
RELAIS.HE,4.0962729192609535
ADMCM.HE,4.0469924178480765
ROVIO.HE,3.902155093538389
ILK1S.HE,3.797224757592032
ILK2S.HE,3.797224757592032
CAPMAN.HE,3.7255127847592613
BITTI.HE,3.69600110711571
REG1V.HE,3.4454815394883815
HRTIS.HE,3.437298770605559
TYRES.HE,3.37457643405737
KAMUX.HE,3.353812824239254
AALLON.HE,3.320576419374006
DETEC.HE,3.3178340211021364
EQV1V.HE,3.2509783275709307
LOUD.HE,3.249437712636637
PRIVA.HE,3.195607974812323
ORNAV.HE,3.1124609653032556
ORNBV.HE,3.1124609653032556
NXTMH.HE,3.1006176366048757
NXTMHN0121.HE,3.1006176366048757
OPTOMED.HE,2.9337012267232034
ELEAV.HE,2.9097071940826194
HARVIA.HE,2.6749922923956158
FONDIA.HE,2.668262842468548
TEM1V.HE,2.4598596999354285
NXTGMS.HE,2.412880843969882
MEKKO.HE,2.412704677883398
UPM.HE,2.3237817168637176
FSKRS.HE,2.285845905322396
GOFORE.HE,2.218967424789361
BOREO.HE,2.1874452522746353
KELAS.HE,2.163153141673558
ACG1V.HE,2.1604092058009945
ROBIT.HE,2.1066344440820517
METSA.HE,2.0549139909314045
METSB.HE,2.0549139909314045
EAB.HE,2.0387467152412806
NESTE.HE,2.0312080337168683
VINCIT.HE,2.0169955383488056
RAP1V.HE,2.0012312172671383
SUY1V.HE,1.9921514316131832
SRV1V.HE,1.9871726266879135
ENENTO.HE,1.9677985046141224
ICP1V.HE,1.9544035550199432
BILOT.HE,1.9342633473371296
NELES.HE,1.9262197575298345
VAIAS.HE,1.893527720002984
BONEH.HE,1.8726302908881653
SSH1V.HE,1.8718622308934925
TLT1V.HE,1.8604150638829282
AHOLA.HE,1.8438955145508067
SAVOH.HE,1.825913748850848
PON1V.HE,1.8220673543475971
SCANFL.HE,1.814899947317583
AFAGR.HE,1.7889015866159805
FORTUM.HE,1.7858596711583707
APETIT.HE,1.7740289876100657
ORTHEX.HE,1.7613815419502572
UPONOR.HE,1.7387097083539198
VIAFIN.HE,1.717368911650016
TRH1V.HE,1.7113038067852873
SSABAH.HE,1.6934876672798234
SSABBH.HE,1.6934876672798234
TOKMAN.HE,1.6408496661680227
RAUTE.HE,1.6327320115034112
MOCORP.HE,1.627566826494866
CTH1V.HE,1.609779578225983
LEHTO.HE,1.6077305883363984
UNIAV.HE,1.6001216871843016
PIIPPO.HE,1.5812341802764178
RUSH.HE,1.5071663590785516
EFECTE.HE,1.505104498472519
YIT.HE,1.4970957083280343
TIK1V.HE,1.4850968602275012
UUTEC.HE,1.481294571729612
OVARO.HE,1.4708481620344662
SAGCV.HE,1.45286390298041
NOKIA.HE,1.449295370391627
LEADD.HE,1.4479724533409701
WRT1V.HE,1.446967822084968
ERIBR.HE,1.4056067160642218
SIILI.HE,1.3994861400665795
ASPO.HE,1.3939838580032615
ALTIA.HE,1.3920090313054496
HUH1V.HE,1.3831125702581977
CGCBV.HE,1.3767274856404075
QTCOM.HE,1.3761728167191725
FARON.HE,1.3696955904557353
BAS1V.HE,1.3406051201742533
MARAS.HE,1.327435088892987
KCR.HE,1.3235638316024063
NLG1V.HE,1.322172425974111
VERK.HE,1.3206421982001824
STEAV.HE,1.2854231458161887
STERV.HE,1.2854231458161887
TELIA1.HE,1.2798823995104036
DOV1V.HE,1.2674789398137334
PUMU.HE,1.266181164928254
KNEBV.HE,1.2652144642212724
FIA1S.HE,1.2473572511125364
FODELIA.HE,1.244474542324285
OLVAS.HE,1.2136296797379502
WUF1V.HE,1.204138440491498
KEMIRA.HE,1.1972098681551342
AM1.HE,1.1847703142498986
NIXU.HE,1.1710608668679603
TNOM.HE,1.1474463036617175
OUT1V.HE,1.1445430256313183
HONBS.HE,1.1428999641945974
FSC1V.HE,1.138372336100621
ESENSE.HE,1.1383389228369427
ELISA.HE,1.097997391993012
PNA1V.HE,1.0803266936145999
LAT1V.HE,1.0702657177906256
KESKOA.HE,1.0689305923307166
KESKOB.HE,1.0689305923307166
VIK1V.HE,1.0612375193408388
AVIDLY.HE,1.059107151151169
REKA.HE,1.0493703899191829
GLA1V.HE,1.0425752865228146
NORDID.HE,1.0424494047107957
EXL1V.HE,1.033902918904039
DIGIA.HE,1.027953798148188
MUSTI.HE,1.0154777529243129
VALMT.HE,1.0075841240052237
SITOWS.HE,1.0044669025007777
