,company,EPSG
0,ERIBR.HE,0.1262745446032929
1,KNEBV.HE,0.018805289343282405
2,NESTE.HE,0.1545249243724116
3,NDA-FI.HE,-0.18126425493822285
4,SAMPO.HE,1.4595604298924254
5,FORTUM.HE,-0.10300986159777925
6,NOKIA.HE,0.38357115860970925
7,UPM.HE,0.1372901585952886
8,TELIA1.HE,-0.33254666779306075
9,STEAV.HE,-0.02587502170791378
10,STERV.HE,-0.02587502170791378
11,KESKOB.HE,-0.038182219788197025
12,KESKOA.HE,-0.038182219788197025
13,ELISA.HE,0.03577797962701368
14,MOCORP.HE,0.16606809535763278
15,SSABAH.HE,
16,SSABBH.HE,
17,WRT1V.HE,0.19234775691320283
18,ORNAV.HE,0.021244643151812515
19,ORNBV.HE,0.08827830830800809
20,VALMT.HE,-0.07812944484116235
21,TYRES.HE,0.30741276976268983
22,KOJAMO.HE,-0.030871846219699406
23,HUH1V.HE,0.017403893765220557
24,METSB.HE,0.012043919517670032
25,METSA.HE,-0.056414754891889296
26,TIETO.HE,0.09621860598485066
27,KCR.HE,0.06722662563559845
28,CGCBV.HE,1.3618322928706057
29,SAA1V.HE,
30,QTCOM.HE,
31,OUT1V.HE,
32,AM1.HE,-0.0875812211948992
33,KEMIRA.HE,-0.13337430954958251
34,NELES.HE,-0.30593955082444957
35,TTALO.HE,-0.31930366916981867
36,TIK1V.HE,-0.009415004142663386
37,UPONOR.HE,-0.07935123699545044
38,REG1V.HE,-0.11864978871554654
39,CTY1S.HE,-0.48813882093937
40,FSKRS.HE,-0.07832638685988791
41,TOKMAN.HE,-0.030123881845167344
42,VAIAS.HE,0.06714245244753525
43,PON1V.HE,-0.0006786556947674383
44,FIA1S.HE,-0.13312552531738087
45,OLVAS.HE,0.0053643162001904
46,YIT.HE,0.3181562859894109
47,MUSTI.HE,
48,ENENTO.HE,0.062220213717640194
49,ALMA.HE,0.25930047973919734
50,EQV1V.HE,-0.004115373322874483
51,CAV1V.HE,-0.315219742967633
52,AKTIA.HE,
53,RAIVV.HE,0.004371551572593724
54,RAIKV.HE,-0.045844603546152496
55,FSC1V.HE,
56,HARVIA.HE,-0.10770135618184684
57,KAMUX.HE,
58,LAT1V.HE,0.2622845525017472
59,BAS1V.HE,
60,REMEDY.HE,-0.025216553674313413
61,TNOM.HE,0.08107683701201873
62,ROVIO.HE,-0.37742316971965517
63,SCANFL.HE,
64,ADMCM.HE,0.043325003013436225
65,NANOFH.HE,
66,ALBAV.HE,
67,ALBBV.HE,
68,ETTE.HE,-0.08449475625097091
69,CAPMAN.HE,0.4951219657892967
70,VERK.HE,0.022167050108446773
71,MEKKO.HE,
72,OKDAV.HE,0.3187022624705975
73,ALTIA.HE,0.10865478487238667
74,EVLI.HE,0.042122044272835835
75,OKDBV.HE,0.1819425118645499
76,OMASP.HE,
77,DETEC.HE,0.2861755269020454
78,ATRAV.HE,-0.08331641139418333
79,SUY1V.HE,-0.31740320672218103
80,GOFORE.HE,0.029393904607832644
81,RELAIS.HE,-0.08438207083971727
82,SITOWS.HE,0.4147615772451525
83,ASPO.HE,0.31670180337775355
84,RAP1V.HE,
85,TAALA.HE,
86,PIHLIS.HE,
87,BITTI.HE,
88,HKSAV.HE,
89,DIGIA.HE,0.0008631718261202792
90,FARON.HE,
91,TEM1V.HE,
92,TITAN.HE,-0.07003380747929433
93,VIK1V.HE,
94,LEHTO.HE,-0.08721444559346259
95,KSLAV.HE,
96,ORTHEX.HE,
97,SRV1V.HE,-0.20170159192227877
98,NOHO.HE,-0.13537233424679507
99,ICP1V.HE,
100,LEADD.HE,
101,EEZY.HE,0.407003922382974
102,UNIAV.HE,0.10275869501563628
103,SIILI.HE,0.5016599232579668
104,VINCIT.HE,0.4516048655821827
105,ROBIT.HE,
106,EXL1V.HE,-0.22576341705002279
107,SOLTEQ.HE,
108,SSH1V.HE,-0.31503941770994415
109,CONSTI.HE,-0.035098394958530954
110,ESENSE.HE,
111,TLT1V.HE,-0.05873618849572815
112,RAUTE.HE,
113,BOREO.HE,
114,STCBV.HE,-0.268310588631264
115,STCAS.HE,-0.5020663032580048
116,EFECTE.HE,
117,APETIT.HE,
118,PUMU.HE,
119,OPTOMED.HE,
120,SIEVI.HE,
121,IFA1V.HE,
122,GLA1V.HE,
123,NIXU.HE,
124,NXTGMS.HE,
125,VIAFIN.HE,0.16274261692269554
126,SOSI1.HE,
127,FODELIA.HE,-0.35412223449701796
128,AFAGR.HE,
129,NLG1V.HE,
130,EAB.HE,
131,SAGCV.HE,
132,AALLON.HE,
133,DOV1V.HE,-0.025109049035311082
134,HONBS.HE,
135,BILOT.HE,
136,PNA1V.HE,
137,OVARO.HE,
138,ENDOM.HE,
139,INVEST.HE,
140,DIGIGR.HE,
141,BIOBV.HE,
142,HEEROS.HE,
143,FONDIA.HE,0.1781547465274247
144,VALOE.HE,
145,CTH1V.HE,
146,NXTMH.HE,
147,AVIDLY.HE,
148,ACG1V.HE,0.5838246835675629
149,HRTIS.HE,
150,AHOLA.HE,-0.0862690293823608
151,QPR1V.HE,
152,BONEH.HE,
153,WUF1V.HE,-0.010592806456714343
154,REKA.HE,
155,FELLOW.HE,
156,TULAV.HE,
157,LOUD.HE,
158,KELAS.HE,0.11884722488234511
159,TRH1V.HE,
160,MARAS.HE,
161,SAVOH.HE,
162,NORDID.HE,
163,PIIPPO.HE,
164,PRIVA.HE,
165,ENEDO.HE,
166,NXTMHN0121.HE,
