company,roi
NELES.HE,113.01694193470009
ADMCM.HE,85.32320760627074
CTH1V.HE,73.02214711278236
TITAN.HE,47.98581681325284
REG1V.HE,39.899136576532925
REMEDY.HE,30.069909522196994
ROVIO.HE,28.017910523241248
ORNAV.HE,27.663858096692312
ORNBV.HE,27.663858096692312
DETEC.HE,27.644784449037576
FONDIA.HE,25.515647396683093
EQV1V.HE,23.770581825467936
MEKKO.HE,22.81326088971395
ILK2S.HE,20.68430952813389
ILK1S.HE,20.68430952813389
ALMA.HE,18.71044245685283
SIEVI.HE,18.482810344117148
GOFORE.HE,17.143300692888968
ICP1V.HE,16.93771230229235
VINCIT.HE,15.015854618671156
TYRES.HE,13.996339782503007
NESTE.HE,13.530672507588614
KAMUX.HE,13.337392276343872
BILOT.HE,13.173437068722869
PON1V.HE,12.772887007245357
KNEBV.HE,12.16669058843621
PARTNE1.HE,12.073532523096903
ELISA.HE,12.02062539690888
VAIAS.HE,11.971581713802035
TNOM.HE,11.74453195364466
OLVAS.HE,11.502190034696097
BOREO.HE,10.62265321324533
RAUTE.HE,10.06585977766505
SCANFL.HE,9.93450800980932
SIILI.HE,9.39428261338765
ETTE.HE,9.30921960958003
UPONOR.HE,9.297991240710784
AHOLA.HE,9.0773206030872
ACG1V.HE,8.865789426950668
VERK.HE,8.820454648477249
HONBS.HE,8.34368409456004
METSB.HE,7.937835961426
METSA.HE,7.937835961426
UPM.HE,7.930420381580647
UNIAV.HE,7.9175812751880725
TOKMAN.HE,7.781841171240203
FODELIA.HE,7.487759806431967
KSLAV.HE,7.4706337377942065
HARVIA.HE,7.259006658002423
ORTHEX.HE,7.006677055141446
TIK1V.HE,6.859221183876487
TIETO.HE,6.735841596775288
KOJAMO.HE,6.448583267033546
CAPMAN.HE,6.240064475683512
STEAV.HE,6.112404650446587
STERV.HE,6.112404650446587
